Netlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Net                 Part                Pad      Pin        Sheet

+5V                 5VBOOST             1        VOUT_2     1
                    5VBOOST             15       VOUT_3     1
                    5VBOOST             16       VOUT       1
                    C10                 1        1          1
                    C16                 +        +          1
                    C3                  +        +          1
                    C33                 +        +          1
                    C34                 1        1          1
                    C8                  1        1          1
                    C9                  1        1          1
                    GPIOA               2        2          1
                    GPIOB               2        2          1
                    HDMI                P$18     P$18       1
                    J1                  P$71     P$71       1
                    J1                  P$73     P$73       1
                    J1                  P$75     P$75       1
                    J1                  P$77     P$77       1
                    J1                  P$79     P$79       1
                    R11                 2        2          1
                    RT9                 2        2          1
                    USB_CURR_LIM        7        IN         1
                    VREG_1              4        VIN        1

1V5                 C102                1        1          1
                    C104                1        1          1
                    C105                1        1          1
                    C106                1        1          1
                    C107                1        1          1
                    C108                1        1          1
                    C109                1        1          1
                    C110                1        1          1
                    C111                1        1          1
                    C112                1        1          1
                    C113                1        1          1
                    C114                1        1          1
                    C115                1        1          1
                    C116                1        1          1
                    C117                1        1          1
                    C118                1        1          1
                    C119                1        1          1
                    C120                1        1          1
                    C121                1        1          1
                    C122                1        1          1
                    C123                1        1          1
                    C124                1        1          1
                    C125                1        1          1
                    C126                1        1          1
                    C127                1        1          1
                    C52                 +        +          1
                    C59                 1        1          1
                    C69                 1        1          1
                    C79                 1        1          1
                    C89                 1        1          1
                    L4                  1        1          1
                    L5                  1        1          1
                    L6                  1        1          1
                    L7                  1        1          1
                    L8                  1        1          1
                    PCIE1               28       S          1
                    PCIE1               48       S          1
                    PCIE1               6        S          1
                    PCIE2               28       S          1
                    PCIE2               48       S          1
                    PCIE2               6        S          1
                    R18                 2        2          1
                    U$7                 2        VOUT       1
                    U7                  A13      RSVD_3     1
                    U7                  A4       VDD15_2    1
                    U7                  B10      VDD15_7    1
                    U7                  B12      RSVD       1
                    U7                  B2       VDD15_3    1
                    U7                  B3       VDD15_4    1
                    U7                  B7       VDD15_5    1
                    U7                  C11      VDD15_8    1
                    U7                  C13      VDD15_9    1
                    U7                  C14      VDD15_10   1
                    U7                  C5       VDD15_6    1
                    U7                  E13      VDD15_11   1
                    U7                  F1       VDD15_7    1
                    U7                  F2       VDD15_8    1
                    U7                  G13      VDD15_12   1
                    U7                  H3       VDD15_9    1
                    U7                  K4       VDD15      1
                    U7                  L14      VDD15_13   1
                    U7                  M1       VDD15_2    1
                    U7                  M11      VDD15_14   1
                    U7                  M12      VDD15_15   1
                    U7                  M2       VDD15_3    1
                    U7                  N10      VDD15_16   1
                    U7                  N13      VDD15_17   1
                    U7                  N14      VDD15_18   1
                    U7                  N8       VDD15_4    1
                    U7                  P14      VDD15      1
                    U7                  P3       VDD15_5    1
                    U7                  P4       VDD15_6    1

1V8                 C18                 +        +          1
                    SD2_VSELECT         6        Y2         1
                    U$2                 2        VOUT       1

3V2                 ADC/DAC             20       VDDIO      1
                    ADC/DAC             5        VDDA       1
                    C100                1        1          1
                    C101                1        1          1
                    C12                 -        -          1
                    C17                 +        +          1
                    C23                 -        -          1
                    C49                 +        +          1
                    C51                 +        +          1
                    C74                 1        1          1
                    C84                 1        1          1
                    C94                 1        1          1
                    C95                 1        1          1
                    C96                 1        1          1
                    C97                 1        1          1
                    C98                 1        1          1
                    C99                 1        1          1
                    GPIOA               1        1          1
                    GPIOB               1        1          1
                    J1                  P$63     P$63       1
                    J1                  P$65     P$65       1
                    J1                  P$67     P$67       1
                    J1                  P$69     P$69       1
                    L10                 1        1          1
                    L11                 1        1          1
                    L2                  2        2          1
                    L3                  1        1          1
                    MSATA               2        S          1
                    MSATA               24       S          1
                    MSATA               39       S          1
                    MSATA               41       S          1
                    MSATA               52       S          1
                    PCIE1               2        S          1
                    PCIE1               24       S          1
                    PCIE1               39       S          1
                    PCIE1               41       S          1
                    PCIE1               52       S          1
                    PCIE2               2        S          1
                    PCIE2               24       S          1
                    PCIE2               39       S          1
                    PCIE2               41       S          1
                    PCIE2               52       S          1
                    Q1                  2        S          1
                    R14                 1        1          1
                    R16                 2        2          1
                    R19                 1        1          1
                    R20                 1        1          1
                    R21                 2        2          1
                    R22                 1        1          1
                    RT5                 2        2          1
                    SD2_VSELECT         7        Y1         1
                    SD2_VSELECT         8        VCC        1
                    U$2                 3        VIN        1
                    U$6                 3        VIN        1
                    U$7                 3        VIN        1
                    U7                  A11      VDD33_4    1
                    U7                  A3       VDD33_2    1
                    U7                  B4       VDD33      1
                    U7                  D12      VDD33_5    1
                    U7                  D4       RSVD       1
                    U7                  K12      VDD33_6    1
                    U7                  M4       VDD33_2    1
                    U7                  N1       VDD33_3    1
                    U7                  P11      VDD33      1
                    UART_BUF_0          P$5      VCC        1
                    UART_BUF_1          P$5      VCC        1
                    UART_BUF_2          P$5      VCC        1
                    USB_HUB             23       FIX_PORT4  1
                    USB_HUB             34       VCC_D      1
                    USB_HUB             37       SELFPWR    1
                    USB_HUB             38       VCC_D_2    1

12C3_SDA            GPIOB               3        3          1

AGNDX               USB_AUDIO_CODEC     22       AGNDX      1

AUD5_RXD            ADC/DAC             25       I2S_DOUT   1
                    J2                  P$57     P$57       1

AUD5_TXC            ADC/DAC             24       I2S_SCLK   1
                    J2                  P$51     P$51       1

AUD5_TXD            ADC/DAC             26       I2S_DIN    1
                    J2                  P$53     P$53       1

AUD5_TXFS           ADC/DAC             23       I2S_LRCLK  1
                    J2                  P$55     P$55       1

BOOT_MODE0          J3                  P$3      P$3        1

BOOT_MODE1          J3                  P$5      P$5        1

CCM_CLKO1           ADC/DAC             21       SYS_MCLK   1
                    J2                  P$59     P$59       1

CCM_CLKO2           J2                  P$63     P$63       1

CLK1_N              C57                 -        -          1
                    J2                  P$3      P$3        1

CLK1_P              C58                 -        -          1
                    J2                  P$1      P$1        1

CSI_CLK0P           J2                  P$13     P$13       1

CSI_D0M             J2                  P$8      P$8        1

CSI_D0P             J2                  P$10     P$10       1

CSI_D1M             J2                  P$14     P$14       1

CSI_D1P             J2                  P$16     P$16       1

CSI_D2M             J2                  P$20     P$20       1

CSI_D2P             J2                  P$22     P$22       1

CSI_D3M             J2                  P$26     P$26       1

CSI_D3P             J2                  P$28     P$28       1

DI1_D0_CS           J3                  P$45     P$45       1

DI1_D1_CS           J3                  P$49     P$49       1

DI1_DISP_CLK        J3                  P$54     P$54       1

DI1_PIN01           J3                  P$53     P$53       1

DI1_PIN02           J3                  P$41     P$41       1

DI1_PIN03           J3                  P$51     P$51       1

DI1_PIN15           J3                  P$43     P$43       1

DISP1_DATA00        EXT_RADIO_INTERFACE 3        3          1
                    J1                  P$66     P$66       1

DISP1_DATA01        EXT_RADIO_INTERFACE 2        2          1
                    J1                  P$60     P$60       1

DISP1_DATA02        GPIOB               8        8          1
                    J1                  P$56     P$56       1

DISP1_DATA03        GPIOB               9        9          1
                    J1                  P$54     P$54       1

DISP1_DATA04        GPIOB               10       10         1
                    J1                  P$64     P$64       1

DISP1_DATA05        J1                  P$62     P$62       1
                    RT28                2        2          1
                    U7                  B1       *UP_PERST  1

DISP1_DATA06        GPIOB               11       11         1
                    J1                  P$58     P$58       1

DISP1_DATA07        J3                  P$70     P$70       1

DISP1_DATA08        J3                  P$55     P$55       1

DISP1_DATA09        J3                  P$60     P$60       1

DISP1_DATA10        J3                  P$57     P$57       1

DISP1_DATA11        J3                  P$68     P$68       1

DISP1_DATA12        J3                  P$59     P$59       1

DISP1_DATA13        J3                  P$64     P$64       1

DISP1_DATA14        J3                  P$63     P$63       1

DISP1_DATA15        J3                  P$62     P$62       1

DISP1_DATA16        J3                  P$66     P$66       1

DISP1_DATA17        J3                  P$69     P$69       1

DISP1_DATA18        J3                  P$56     P$56       1

DISP1_DATA19        J3                  P$67     P$67       1

DISP1_DATA20        J3                  P$58     P$58       1

DISP1_DATA21        J3                  P$40     P$40       1

DISP1_DATA22        J3                  P$61     P$61       1

DISP1_DATA23        J3                  P$65     P$65       1

DN1_PERST           PCIE1               22       S          1
                    RT27                2        2          1
                    U7                  B5       *DN1_PERST 1

DN2_PERST           PCIE2               22       S          1
                    RT25                2        2          1
                    U7                  A2       *DN2_PERST 1

DN3_PERST           RT26                2        2          1
                    U7                  A1       *DN3_PERST 1

DSI_CLK0M           J2                  P$44     P$44       1

DSI_CLK0P           J2                  P$46     P$46       1

DSI_D0M             J2                  P$38     P$38       1

DSI_D0P             J2                  P$40     P$40       1

DSI_D1M             J2                  P$32     P$32       1

DSI_D1P             J2                  P$34     P$34       1

ECSPI2_MISO         GPIOA               4        4          1
                    J1                  P$45     P$45       1

ECSPI2_MOSI         GPIOA               3        3          1
                    J1                  P$47     P$47       1

ECSPI2_SCLK         GPIOA               5        5          1
                    J1                  P$49     P$49       1

ECSPI2_SS0          GPIOA               6        6          1
                    J1                  P$32     P$32       1

ECSPI2_SS1          GPIOA               7        7          1
                    J1                  P$34     P$34       1

EIM_WAIT            J3                  P$1      P$1        1

ETH_TCT             C1                  1        1          1
                    ETHERNET            10       10         1
                    ETHERNET            9        9          1
                    J1                  P$29     P$29       1

GNDC                C1                  2        2          1

HDMI_CEC_C          D3                  C        C          1
                    HDMI                P$13     P$13       1
                    U$5                 P$10     P$10       1

HDMI_CLKM           J2                  P$39     P$39       1
                    U$4                 P$5      P$5        1

HDMI_CLKP           J2                  P$37     P$37       1
                    U$4                 P$4      P$4        1

HDMI_D0M            J2                  P$33     P$33       1
                    U$4                 P$2      P$2        1

HDMI_D0P            J2                  P$31     P$31       1
                    U$4                 P$1      P$1        1

HDMI_D1M            J2                  P$27     P$27       1
                    U$3                 P$5      P$5        1

HDMI_D1P            J2                  P$25     P$25       1
                    U$3                 P$4      P$4        1

HDMI_D2M            J2                  P$21     P$21       1
                    U$3                 P$2      P$2        1

HDMI_D2P            J2                  P$19     P$19       1
                    U$3                 P$1      P$1        1

HDMI_HPD            J2                  P$49     P$49       1
                    U$5                 P$5      P$5        1

HDMI_HPD_C          HDMI                P$19     P$19       1
                    U$5                 P$6      P$6        1

HDMI_SCL_C          HDMI                P$15     P$15       1
                    U$5                 P$9      P$9        1

HDMI_SDA_C          HDMI                P$16     P$16       1
                    U$5                 P$7      P$7        1

HDMI_TX_CEC_LINE    J2                  P$43     P$43       1
                    U$5                 P$1      P$1        1

HDMI_TX_DDC_SCL     J2                  P$45     P$45       1
                    U$5                 P$2      P$2        1

HDMI_TX_DDC_SDA     J2                  P$47     P$47       1
                    U$5                 P$4      P$4        1

I2C1_SCL            ADC/DAC             29       CTRL_CLK   1
                    J1                  P$53     P$53       1
                    MSATA               30       S          1
                    U7                  B14      SCL        1

I2C1_SDA            ADC/DAC             27       CTRL_DATA  1
                    J1                  P$51     P$51       1
                    MSATA               32       S          1
                    U7                  D13      SDA        1

I2C3_SCL            GPIOB               4        4          1
                    J1                  P$31     P$31       1

I2C3_SDA            J1                  P$33     P$33       1

LED_10_100_LED_1000 J1                  P$25     P$25       1

LED_ACT             J1                  P$27     P$27       1

LOWVOLTAGE          5VBOOST             12       LBO        1

LVDS0_CLK_N         J2                  P$78     P$78       1

LVDS0_CLK_P         J2                  P$80     P$80       1

LVDS0_TX0_N         J2                  P$60     P$60       1

LVDS0_TX0_P         J2                  P$62     P$62       1

LVDS0_TX1_N         J2                  P$66     P$66       1

LVDS0_TX1_P         J2                  P$68     P$68       1

LVDS0_TX2_N         J2                  P$72     P$72       1

LVDS0_TX2_P         J2                  P$74     P$74       1

LVDS0_TX3_N         J2                  P$79     P$79       1

LVDS0_TX3_P         J2                  P$77     P$77       1

MDI_TRXN0           ETHERNET            2        2          1
                    J1                  P$19     P$19       1

MDI_TRXN1           ETHERNET            4        4          1
                    J1                  P$13     P$13       1

MDI_TRXN2           ETHERNET            6        6          1
                    J1                  P$7      P$7        1

MDI_TRXN3           ETHERNET            8        8          1
                    J1                  P$1      P$1        1

MDI_TRXP0           ETHERNET            1        1          1
                    J1                  P$21     P$21       1

MDI_TRXP1           ETHERNET            3        3          1
                    J1                  P$15     P$15       1

MDI_TRXP2           ETHERNET            5        5          1
                    J1                  P$9      P$9        1

MDI_TRXP3           ETHERNET            7        7          1
                    J1                  P$3      P$3        1

MIC_IN              C24                 -        -          1
                    HEADSET             2        2          1
                    RT6                 1        1          1

MLB_CN              J3                  P$19     P$19       1

MLB_CP              J3                  P$17     P$17       1

MLB_DN              J3                  P$27     P$27       1

MLB_DP              J3                  P$25     P$25       1

MLB_SN              J3                  P$23     P$23       1

MLB_SP              J3                  P$21     P$21       1

MSATA_DISABLE       MSATA               20       S          1
                    PCIE1               20       S          1
                    PCIE2               20       S          1
                    R16                 1        1          1

MUTE/PWR_DOWN       RN1                 5        2          1
                    RN1                 6        2          1
                    RN1                 7        2          1
                    USB_AUDIO_CODEC     28       !SSPND     1

MX6_ONOFF           J3                  P$13     P$13       1

N$1                 D1                  A        A          1
                    EXT_POWER_IN        2        2          1

N$2                 D1                  C        C          1
                    LT1085              3        VIN        1

N$3                 BATTERY_CHARGER     6        *PG        1
                    PWR                 C        C          1

N$4                 D2                  A        A          1
                    U$1                 VBUS     VBUS       1

N$5                 BATTERY_CHARGER     2        VPCC       1
                    R1                  1        1          1
                    R2                  2        2          1

N$6                 PWR                 A        A          1
                    R3                  2        2          1

N$7                 L2                  1        1          1
                    VREG_1              5        LX         1

N$8                 CHRG/LBO            A        A          1
                    R5                  2        2          1

N$9                 BATTERY_CHARGER     7        STAT2      1
                    DONE                C        C          1

N$10                DONE                A        A          1
                    R4                  2        2          1

N$11                BATTERY_CHARGER     8        STAT1/*LBO 1
                    CHRG/LBO            C        C          1

N$12                BATT                1        2          1
                    BATTERY_CHARGER     14       VBAT       1
                    BATTERY_CHARGER     15       VBAT_2     1
                    BATTERY_CHARGER     16       VBAT_SENSE 1
                    C6                  1        1          1

N$13                BATTERY_CHARGER     12       PROG3      1
                    R6                  2        2          1

N$14                BATTERY_CHARGER     13       PROG1      1
                    R7                  2        2          1

N$15                5VBOOST             11       EN         1
                    ON/OFF?             P        P          1

N$16                BATTERY_CHARGER     5        THERM      1
                    R8                  2        2          1

N$17                R8                  1        1          1
                    RT2                 2        2          1
                    THERM               1        1          1

N$18                ADC/DAC             30       VDDD       1
                    C11                 -        -          1

N$19                R14                 2        2          1
                    R15                 1        1          1
                    VREG_1              7        FB         1

N$20                5VBOOST             9        LBI        1
                    R10                 1        1          1
                    R9                  2        2          1

N$21                ADC/DAC             15       MIC        1
                    C24                 +        +          1

N$22                5VBOOST             3        SW_2       1
                    5VBOOST             4        SW         1
                    L1                  2        2          1

N$23                5VBOOST             14       FB         1
                    R11                 1        1          1
                    R12                 2        2          1

N$24                ADC/DAC             10       VAG        1
                    C13                 -        -          1

N$25                C15                 +        +          1
                    VREG_1              2        SS         1

N$26                D3                  A        A          1
                    RT5                 1        1          1

N$27                R13                 1        1          1
                    VREG_1              1        COMP       1

N$28                C14                 +        +          1
                    R13                 2        2          1

N$29                ADC/DAC             2        HP_R       1
                    C21                 1        1          1

N$30                ADC/DAC             6        HP_L       1
                    C22                 1        1          1

N$31                ADC/DAC             16       MIC_BIAS   1
                    C25                 -        -          1
                    RT6                 2        2          1

N$32                C40                 1        1          1
                    USB_AUDIO_CODEC     23       VCCXI      1

N$33                C41                 1        1          1
                    USB_AUDIO_CODEC     19       VCCP2I     1

N$34                RT8                 1        1          1
                    USB_HUB             11       RREF       1

N$35                RT7                 1        1          1
                    USB_HUB             39       GANG       1

N$36                RT9                 1        1          1
                    USB_AUDIO_CODEC     3        VBUS       1

N$37                RT11                1        1          1
                    USB_AUDIO_CODEC     2        D-         1

N$38                RT10                1        1          1
                    USB_AUDIO_CODEC     1        D+         1

N$39                C33                 -        -          1
                    USB_CURR_LIM        6        GND        1

N$40                C35                 +        +          1
                    USB_AUDIO_CODEC     10       VCCCI      1

N$41                C36                 +        +          1
                    EXT_RADIO_INTERFACE 4        4          1
                    EXT_RADIO_INTERFACE 7        7          1
                    USB_AUDIO_CODEC     14       VCOM       1

N$42                C42                 1        1          1
                    USB_AUDIO_CODEC     17       VCCP1I     1

N$43                C38                 +        +          1
                    USB_AUDIO_CODEC     12       VINL       1

N$44                C37                 +        +          1
                    USB_AUDIO_CODEC     13       VINR       1

N$45                C38                 -        -          1
                    EXT_RADIO_INTERFACE 9        9          1

N$46                C37                 -        -          1
                    EXT_RADIO_INTERFACE 8        8          1

N$47                C43                 -        -          1
                    EXT_RADIO_INTERFACE 6        6          1

N$48                C44                 -        -          1
                    EXT_RADIO_INTERFACE 5        5          1

N$49                C43                 +        +          1
                    USB_AUDIO_CODEC     15       VOUTR      1

N$50                C44                 +        +          1
                    USB_AUDIO_CODEC     16       VOUTL      1

N$51                C45                 1        1          1
                    MSATA               23       S          1

N$52                SW3                 1        P          1
                    SW3                 3        P1         1
                    USB_AUDIO_CODEC     5        HID0       1

N$53                SW2                 1        P          1
                    SW2                 3        P1         1
                    USB_AUDIO_CODEC     6        HID1       1

N$54                RN1                 2        1          1
                    SW1                 2        S          1
                    SW1                 4        S1         1

N$55                SW1                 1        P          1
                    SW1                 3        P1         1
                    USB_AUDIO_CODEC     7        HID2       1

N$56                C39                 1        1          1
                    RN1                 8        2          1
                    USB_AUDIO_CODEC     27       VDDI       1
                    USB_AUDIO_CODEC     8        SEL0       1
                    USB_AUDIO_CODEC     9        SEL1       1

N$57                RN1                 3        1          1
                    SW2                 2        S          1
                    SW2                 4        S1         1

N$58                RN1                 4        1          1
                    SW3                 2        S          1
                    SW3                 4        S1         1

N$59                C46                 1        1          1
                    MSATA               25       S          1

N$60                C47                 1        1          1
                    MSATA               31       S          1

N$61                C48                 1        1          1
                    MSATA               33       S          1

N$62                C54                 -        -          1
                    PCIE2               31       S          1

N$63                C53                 -        -          1
                    PCIE2               33       S          1

N$66                C56                 -        -          1
                    PCIE1               31       S          1

N$67                C55                 -        -          1
                    PCIE1               33       S          1

N$75                C57                 +        +          1
                    U7                  L2       UP_REFCKIN 1

N$77                C58                 +        +          1
                    U7                  L1       UP_REFCKIP 1

N$79                GPIOB               12       12         1

N$80                GPIOB               13       13         1

NVCC_SD2            C19                 1        1          1
                    J1                  P$61     P$61       1
                    SD2_VSELECT         1        COM        1

PCIE_RXM            J2                  P$2      P$2        1
                    U7                  J2       UP_PERN    1

PCIE_RXM1           PCIE1               23       S          1
                    U7                  B6       DN1_PERN   1

PCIE_RXM2           PCIE2               23       S          1
                    U7                  F14      DN2_PERN   1

PCIE_RXM3           U7                  P9       DN3_PERN   1

PCIE_RXP            J2                  P$4      P$4        1
                    U7                  J1       UP_PERP    1

PCIE_RXP1           PCIE1               25       S          1
                    U7                  A6       DN1_PERP   1

PCIE_RXP2           PCIE2               25       S          1
                    U7                  F13      DN2_PERP   1

PCIE_RXP3           U7                  N9       DN3_PERP   1

PCIE_TXM            J2                  P$7      P$7        1
                    U7                  G2       UP_PETN    1

PCIE_TXM1           C56                 +        +          1
                    U7                  B8       DN1_PETN   1

PCIE_TXM2           C54                 +        +          1
                    U7                  H14      DN2_PETN   1

PCIE_TXM3           U7                  P7       DN3_PETN   1

PCIE_TXP            J2                  P$9      P$9        1
                    U7                  A8       DN1_PETP   1
                    U7                  G1       UP_PETP    1

PCIE_TXP1           C55                 +        +          1

PCIE_TXP2           C53                 +        +          1
                    U7                  H13      DN2_PETP   1

PCIE_TXP3           U7                  N7       DN3_PETP   1

PE                  5VBOOST             10       SYNC       1
                    5VBOOST             13       GND        1
                    5VBOOST             17       PAD        1
                    5VBOOST             5        PGND_2     1
                    5VBOOST             6        PGND_3     1
                    5VBOOST             7        PGND       1
                    ADC/DAC             1        GND        1
                    ADC/DAC             3        GND2       1
                    ADC/DAC             31       CTRL_ADR0_CS 1
                    ADC/DAC             32       CTRL_MODE  1
                    ADC/DAC             7        AGND       1
                    ADC/DAC             EXP      GND        1
                    BATT                2        1          1
                    BATTERY_CHARGER     10       VSS        1
                    BATTERY_CHARGER     11       VSS_2      1
                    BATTERY_CHARGER     21       EP         1
                    C10                 2        2          1
                    C100                2        2          1
                    C101                2        2          1
                    C102                2        2          1
                    C103                2        2          1
                    C104                2        2          1
                    C105                2        2          1
                    C106                2        2          1
                    C107                2        2          1
                    C108                2        2          1
                    C109                2        2          1
                    C11                 +        +          1
                    C110                2        2          1
                    C111                2        2          1
                    C112                2        2          1
                    C113                2        2          1
                    C114                2        2          1
                    C115                2        2          1
                    C116                2        2          1
                    C117                2        2          1
                    C118                2        2          1
                    C119                2        2          1
                    C12                 +        +          1
                    C120                2        2          1
                    C121                2        2          1
                    C122                2        2          1
                    C123                2        2          1
                    C124                2        2          1
                    C125                2        2          1
                    C126                2        2          1
                    C127                2        2          1
                    C13                 +        +          1
                    C14                 -        -          1
                    C15                 -        -          1
                    C16                 -        -          1
                    C17                 -        -          1
                    C18                 -        -          1
                    C19                 2        2          1
                    C2                  -        -          1
                    C20                 -        -          1
                    C23                 +        +          1
                    C25                 +        +          1
                    C26                 -        -          1
                    C27                 -        -          1
                    C28                 -        -          1
                    C29                 -        -          1
                    C3                  -        -          1
                    C30                 -        -          1
                    C31                 2        2          1
