Partlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part                Value                                Device                     Package                     Library                        Sheet

5VBOOST             Value                                TPS61030RSAR               RSA0016B                    texas                          1
ADC/DAC             SGTL5000_32QFN                       SGTL5000                   QFN32                       freescale                      1
BATT                                                     JST_2PIN-SMT-RA            JST-PH-2-SMT-RA             adafruit                       1
BATTERY_CHARGER     MCP73871-2CCI/ML                     MCP73871-2CCI/ML           QFN50P400X400X100-21N       Microchip_By_element14_Batch_1 1
C1                  1uF                                  C-USC0402                  C0402                       adafruit                       1
C2                  4700uF/10V                           CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C3                  10uF/6.3V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C4                  10uF/10V                             C-USC0402K                 C0402K                      adafruit                       1
C5                  10uF                                 C-USC0402K                 C0402K                      adafruit                       1
C6                  10uF                                 C-USC0402K                 C0402K                      adafruit                       1
C7                  01uF                                 C-USC0402K                 C0402K                      adafruit                       1
C8                  2.2uF                                C-USC0402K                 C0402K                      adafruit                       1
C9                  100uF                                C-USC0402K                 C0402K                      adafruit                       1
C10                 100uF                                C-USC0402K                 C0402K                      adafruit                       1
C11                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C12                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C13                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C14                 560pF/50V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C15                 560pF/50V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C16                 10uF/6.3V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C17                 22uF/6.3V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C18                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C19                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C20                 1uF/6.3V                             CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C21                 100uF                                C-USC0402K                 C0402K                      adafruit                       1
C22                 100uF                                C-USC0402K                 C0402K                      adafruit                       1
C23                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C24                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C25                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C26                 8pF/50V                              CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C27                 8pF/50V                              CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C28                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C29                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C30                 0.1uF/16V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C31                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C32                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C33                 22uF/6.3V                            CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C34                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C35                 10uF                                 CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C36                 10uF                                 CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C37                 10uF                                 CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C38                 10uF                                 CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C39                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C40                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C41                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C42                 1uF                                  C-USC0402K                 C0402K                      adafruit                       1
C43                 10uF                                 CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C44                 10uF                                 CPOL-USR/2012-12R          R/2012-12R                  adafruit                       1
C45                 10nF/25V                             C-USC0402                  C0402                       adafruit                       1
C46                 10nF/25V                             C-USC0402                  C0402                       adafruit                       1
C47                 10nF/25V                             C-USC0402                  C0402                       adafruit                       1
C48                 10nF/25V                             C-USC0402                  C0402                       adafruit                       1
